sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
55,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(2),sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;b: Number;a: Number;G: Circle;H: Line;A: Point;B: Point;F1: Point;O:Origin;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(C) = F1;PointOnCurve(F1, H);Intersection(H, Asymptote(C)) = {A, B};IsDiameter(LineSegmentOf(A,B),G);PointOnCurve(O,G)",21,21
96,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,17,"Abs(LineSegmentOf(P, F2)) not found","Abs(LineSegmentOf(P, F2)) not found","Abs(LineSegmentOf(P, F2))","G: Hyperbola;P: Point;F1: Point;F2: Point;Expression(G) = (x^2/16 - y^2/20 = 1);Focus(G) = {F1,F2};PointOnCurve(P, G);Abs(LineSegmentOf(P, F1)) = 9",1,1
208,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,1,1,1,1,15,15,False,15,,,True,sqrt(5),sqrt(b^2+1),sqrt(b^2+1),Eccentricity(C),"C: Hyperbola;b: Number;O: Origin;P: Point;F: Point;b>0;Expression(C) = (x^2 - y^2/b^2 = 1);RightFocus(C) = F;PointOnCurve(P, C);Abs(LineSegmentOf(O, P)) = 2*b;AngleOf(P, O, F) = pi/3",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
221,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,-8,-8,-8,m,G: Hyperbola;m: Number;Expression(G) = (m*y^2 + x^2 = 1);Length(ImageinaryAxis(G))*3 = FocalLength(G),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
248,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(3)-1,sqrt(1-b^2/a^2),sqrt(1-b^2/a^2),Eccentricity(G),"G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;A: Point;B: Point;F: Point;a > b;b > 0;L:Line;O:Origin;RightFocus(G) = F;PointOnCurve(O,L);Intersection(L,G) = {A, B};Abs(LineSegmentOf(A, B)) = 4;Abs(LineSegmentOf(B, F)) = 2*sqrt(3);AngleOf(A, B, F) = ApplyUnit(30, degree)",13,13
265,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,2*sqrt(6) + sqrt(3),Min not found,Min not found,"Min(Abs(LineSegmentOf(A, B)) + Abs(LineSegmentOf(A, F)))","C: Hyperbola;D: Circle;A: Point;B: Point;F: Point;Expression(C) = (x^2/3 - y^2/3 = 1);Expression(D) = (x^2 + (y + 3*sqrt(2))^2 = 3);RightFocus(C) = F;PointOnCurve(A, LeftPart(C));PointOnCurve(B, D)",1,1
267,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,5/3,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"F1: Point;F2: Point;LeftFocus(G) = F1;RightFocus(G) = F2;G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;P: Point;PointOnCurve(P, G) = True;Abs(LineSegmentOf(P, F1)) + Abs(LineSegmentOf(P, F2)) = 3*b;Abs(LineSegmentOf(P, F1))*Abs(LineSegmentOf(P, F2)) = (9/4)*a*b",1,1
360,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,62,62,62,62,15,15,False,15,,,True,2,LineSegmentOf not found,2,"LineSegmentOf(F, R)","C: Parabola;P: Point;Q: Point;F: Point;M: Point;N: Point;R: Point;l: Line;Expression(C) = (y^2 = 4*x);Focus(C) = F;Directrix(C) = l;PointOnCurve(P, C);IsPerpendicular(LineSegmentOf(P,Q),l);FootPoint(LineSegmentOf(P,Q),l)=Q;MidPoint(LineSegmentOf(P,Q))=M;MidPoint(LineSegmentOf(P,F))=N;Intersection(LineSegmentOf(M,N),xAxis)=R;AngleOf(N, R, F) = ApplyUnit(60, degree)",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
380,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,y=pm*(sqrt(2)/2)*x,y=pm*sqrt(2)*x,y=pm*sqrt(2)*x,Expression(Asymptote(G)),G: Hyperbola;Expression(G) = (-x^2/24 + y^2/12 = 1),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
391,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,2,k: Number,k: Number,k,"C: Parabola;G: Line;M: Point;A: Point;B: Point;Expression(C) = (y^2 = 8*x);Coordinate(M) = (-2, 2);k:Number;PointOnCurve(Focus(C), G);Slope(G) = k;Intersection(G, C) = {A, B};DotProduct(VectorOf(M, A), VectorOf(M, B)) = 0",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
